state_id,state,name,full_url,stop_type,Chain,Latitude,Longitude,Highway,Exit,Street Address,City,State,Postal Code,Phone,Phone 2,Fax,Phone 3,Mile Marker,Phone 4,Mailing Address,Phone 5,Road Name,https,htp,http
3,Arizona,ARCO TRAVEL CENTER,https://www.truckstopsandservices.com/location_details.php?id=45155,Trucker,arco,33.670532,-114.19953,I-10,19,185 N RIGGLES AVE,QUARTZSITE,AZ,85359,928-927-3600 (TRAVEL CENTER),,928-927-3604,,,,,,,,,
3,Arizona,CAMP VERDE SHELL,https://www.truckstopsandservices.com/location_details.php?id=469,Trucker,shell,34.575491,-111.883001,I-17,287,1673 HWY 260,CAMP VERDE,AZ,86322,928-567-3886 (TRAVEL CENTER),,928-567-2336,,,,,,,,,
3,Arizona,CARIOCA # 11,https://www.truckstopsandservices.com/location_details.php?id=45160,Trucker,valero,34.69898,-113.609404,US 93,,18183 S US 93,WIKIEUP,AZ,85360,928-765-2255 (TRAVEL CENTER),,,,,,,,,,,
3,Arizona,CARTER TRAVEL CENTER,https://www.truckstopsandservices.com/location_details.php?id=10284,Trucker,conoco,35.242211,-111.567152,US 89,,7180 N US 89,FLAGSTAFF,AZ,86004,928-714-9115 (TRAVEL CENTER),928-714-9115 (MARY'S CAFE),928-714-9045,,,,,,,,,
3,Arizona,CHAMBERS MOBIL,https://www.truckstopsandservices.com/location_details.php?id=54070,Trucker,mobil oil type,35.190412,-109.433621,I-40,333,I-40 & HWY 191,CHAMBERS,AZ,86502,928-688-6880 (TRAVEL CENTER),,,,,,,,,,,
3,Arizona,CIRCLE K,https://www.truckstopsandservices.com/location_details.php?id=550,Trucker,ind dealer,32.781843,-111.618654,I-10,203,3125 N TOLTEC RD,ELOY,AZ,85131,520-466-7361 (TRAVEL CENTER),,,,,,,,,,,
3,Arizona,CIRCLE K,https://www.truckstopsandservices.com/location_details.php?id=10274,Trucker,circle_k,33.437401,-112.137167,AZ 85,35,3618 W BUCKEYE RD,PHOENIX,AZ,85009,602-269-8482 (TRAVEL CENTER),,602-278-1791,,,,,,,,,
3,Arizona,CIRCLE K,https://www.truckstopsandservices.com/location_details.php?id=18474,Trucker,circle_k,33.436249,-112.168649,I-10,137,5049 W BUCKEYE RD,PHOENIX,AZ,85043,602-278-5088 (TRAVEL CENTER),,,,,,,,,,,
3,Arizona,Cocopah Korner Store,https://www.truckstopsandservices.com/location_details.php?id=64171,Trucker,,32.609832,-114.6536016,US 95,,,Somerton,AZ,85350,928-341-1444,,,,,,,,,,,
3,Arizona,CORNER STORE,https://www.truckstopsandservices.com/location_details.php?id=45156,Trucker,valero,31.555046,-110.25873,AZ 90,AZ 92,3999 E FRY BLVD,SIERRA VISTA,AZ,85635,520-458-0300 (TRAVEL CENTER),,,,,,,,,,,
3,Arizona,CORNER STORE,https://www.truckstopsandservices.com/location_details.php?id=45157,Trucker,valero,33.458766,-112.271841,I-10,133-A,1025 N 99 AVE,TOLLESON,AZ,85353,623-936-9777 (TRAVEL CENTER),,,,,,,,,,,
3,Arizona,CRAZY FRED'S TRUCK STOP,https://www.truckstopsandservices.com/location_details.php?id=682,Trucker,ind dealer,35.144621,-114.094732,I-40,44,2770 W OLD HWY 66,KINGMAN,AZ,86401,928-753-3834 (TRAVEL CENTER),,928-753-4178,,,,,,,,,
3,Arizona,DAVE'S FAST STOP,https://www.truckstopsandservices.com/location_details.php?id=10281,Trucker,chevron,33.418786,-110.813126,US 60,,2060 HWY 60,CENTRAL HEIGHTS,AZ,85501,928-425-3297 (TRAVEL CENTER),,928-425-9446,,,,,,,,,
3,Arizona,DISCOUNT ZONE,https://www.truckstopsandservices.com/location_details.php?id=45154,Trucker,shell,33.428368,-112.081817,I-17,196,2112 S 7TH  AVE,PHOENIX,AZ,85043,602-253-9717 (TRAVEL CENTER),,,,,,,,,,,
3,Arizona,DISCOUNT ZONE #1,https://www.truckstopsandservices.com/location_details.php?id=45153,Trucker,shell,33.46021,-112.169871,I-10,139,1042 N 51ST AVE,PHOENIX,AZ,85043,602-278-0714 (TRAVEL CENTER),,,,,,,,,,,
3,Arizona,EAGLE'S LANDING TRAVEL PLAZA,https://www.truckstopsandservices.com/location_details.php?id=55922,Trucker,pilot,36.9954561,-111.5643671,US 89,,101 W GLEN ST,PAGE,AZ,86040,928-353-4821 (TRAVEL CENTER),928-353-4821 (YARDLEY'S STEAKBURGERS),,,,,,,,,,
3,Arizona,EAGLES LANDING TRAVEL PLAZA,https://www.truckstopsandservices.com/location_details.php?id=54230,Trucker,pilot,36.897675,-113.910849,I-15,9,4031 FLEET ST,LITTLEFIELD,AZ,86432,702-849-0700 (TRAVEL CENTER),702-849-0700 (SUBWAY),928-347-5740,702-849-0700 (YARDLEY'S STEAKBURGER'S),,702-849-0700 (CHESTER'S FRIED CHICKEN),,,,,,
3,Arizona,FLYING J DEALER #505,https://www.truckstopsandservices.com/location_details.php?id=306,Trucker,flying j,32.673458,-114.444909,I-8,12,108000 N FRONTAGE RD,YUMA,AZ,85367,928-342-2696 (TRAVEL CENTER),928-342-2696 (DAYBREAKERS CAFE),928-342-1619,,,,,,,,,
