Original_Phone,Name,Rating,Review_Count,Address,City,State,Zip_Code,Phone,Categories,Latitude,Longitude,Price,Is_Closed,URL
+17754736800,Golden Gate Auto-Truck Plaza,2.4,25.0,"500 Usa Pkwy, Sparks, NV 89434",Sparks,NV,89434,(775) 473-6800,Gas Stations,39.5569599,-119.49156,N/A,False,https://www.yelp.com/biz/golden-gate-auto-truck-plaza-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg
+14357434823,Shell,3.0,1.0,"885 S Park Ave, Fillmore, UT 84631",Fillmore,UT,84631,(435) 743-4823,Gas Stations,38.95033129999999,-112.3531416,N/A,False,https://www.yelp.com/biz/shell-fillmore-2?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg
+15597573044,Best Truck Stop,2.2,10.0,"451 N Park Dr, Pixley, CA 93256",Pixley,CA,93256,(559) 757-3044,Gas Stations,35.9723361,-119.2917755,N/A,False,https://www.yelp.com/biz/best-truck-stop-pixley?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg
+13105326037,Carson Mini Truck Stop,2.8,8.0,"101 W Victoria St, Gardena, CA 90248",Gardena,CA,90248,(310) 532-6037,Gas Stations,33.8656997680664,-118.275848388672,N/A,False,https://www.yelp.com/biz/carson-mini-truck-stop-gardena?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg
+14358427132,Meadow Chevron & Food Mart,4.0,1.0,"375 N Main St, Meadow, UT 84644",Meadow,UT,84644,(435) 842-7132,Convenience Stores,38.892793,-112.4106164,N/A,False,https://www.yelp.com/biz/meadow-chevron-and-food-mart-meadow?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg
+14358427132,Meadow Conoco & C Store,3.1,8.0,"375 N Main St, Meadow, UT 84644",Meadow,UT,84644,(435) 842-7132,Gas Stations,38.8921795,-112.411033544775,N/A,False,https://www.yelp.com/biz/meadow-conoco-and-c-store-meadow?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg
+18188989225,76 Gas,5.0,2.0,"1601 Truman St, San Fernando, CA 91340",San Fernando,CA,91340,(818) 898-9225,Gas Stations,34.2896313866672,-118.447423305418,N/A,False,https://www.yelp.com/biz/76-gas-san-fernando?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg
+18188989225,Prena Fuels,5.0,1.0,"1601 Truman St, San Fernando, CA 91340",San Fernando,CA,91340,(818) 898-9225,Gas Stations,34.28964,-118.44728,N/A,True,https://www.yelp.com/biz/prena-fuels-san-fernando?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg
+19286361020,,,,,,,,,,,,,,
+17757522400,Flying J,2.5,12.0,"156 Hwy 93 S, Wells, NV 89835",Wells,NV,89835,(775) 752-2400,"Gas Stations, Convenience Stores",41.0987493743796,-114.958404274894,N/A,False,https://www.yelp.com/biz/flying-j-wells-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg
