Unnamed: 0,filename,record_num,clean_line1,clean_line2,line3,city,zip_code,label,phone,address,parking,gray_parking,identifier,year,panel,major_city,state,chain,p_identifier,identifier2,identifier3
23197,RVersFriend2006-115-ocr.csv,18,"Coalville , 84017 Holiday Hills ( 66 )",435-336-4421 1-80 Exit 162 ( UT 280 ),MO,Coalville,84017,"Holiday Hills,66,",435-336-4421,I-80 Exit 162 and UT 280,M,M,84017_435-336-4421,2006,1,Coalville,UT,,,84017_435-336-4421,84017_435-336-4421_NA
23198,RVersFriend2007-104-ocr.csv,7,"Coalville , 84017 Hills ( 66 )",435-336-4421 1-80 Holiday Exit 162 ( UT 280 ),M <U+25A1>,Coalville,84017,"Hills,66,",435-336-4421,I-80 Holiday Exit 162 and UT 280,M,,84017_435-336-4421,2007,1,Coalville,UT,,,84017_435-336-4421,84017_435-336-4421_NA
23199,TF2008_258_271-0-ocr.csv,7,"D Coalville , 84017 Holiday Hills ( 66 ) )",4 435-336-4421 1-80 Exit 162 ( UT 280 ),M <U+2610> <U+2610> <U+2610>,Coalville,84017,"Holiday Hills,66,,",435-336-4421,I-80 Exit 162 and UT 280,M,,84017_435-336-4421,2008,1,Coalville,UT,,,84017_435-336-4421,84017_435-336-4421_NA
23200,TF2014_256_269-2-ocr.csv,9,D Coalville ( 84017 ) Holiday Hills ( 66 ),435-336-4421 1-80 Exit 162 ( UT 280 ),M <U+25A1> <U+2610>,Coalville,84017,"Holiday Hills,66,",435-336-4421,I-80 Exit 162 and UT 280,M,M,84017_435-336-4421,2014,1,Coalville,UT,,,84017_435-336-4421,84017_435-336-4421_NA
23201,TF2015_258_273-1-ocr.csv,12,D Coalville ( 84017 ) Holiday Hills ( 66 ),4 435-336-4421 I - 80 Exit 162 ( UT 280 ),D M <U+25A1> D D,Coalville,84017,"Holiday Hills,66,",435-336-4421,I-80 Exit 162 and UT 280,M,,84017_435-336-4421,2015,1,Coalville,UT,,,84017_435-336-4421,84017_435-336-4421_NA
23202,TF2016_260_275-0-ocr.csv,12,D Coalville ( 84017 ) Holiday Hills ( 66 ),4 435-336-4421 1-80 Exit 162 ( UT 280 ),<U+25A1> <U+2610> <U+2610> <U+2610> <U+2610>,Coalville,84017,"Holiday Hills,66,",435-336-4421,I-80 Exit 162 and UT 280,,,84017_435-336-4421,2016,1,Coalville,UT,,,84017_435-336-4421,84017_435-336-4421_NA
23203,RVersFriend2006-115-ocr.csv,28,"E Heber City , 84032 Heber Mart ( Chevron )",435-654-4642 US 40 & US 189 ( 1/2 mi E ),<U+2610> 000,Heber City,84032,"Heber Mart,Chevron,",435-654-4642,US 40 and US 189 and 1/2 mi E,,,84032_435-654-4642,2006,1,Heber City,UT,Chevron,,84032_435-654-4642,84032_435-654-4642_Chevron
23204,RVersFriend2007-104-ocr.csv,17,Heber Mart ( Chevron ),"FHeber 4435-654-4642 City , 84032 US 40 & US 189 ( 1/2 mi E )",0000 n,,84032,,435-654-4642,"City , 84032 US 40 and US 189 and 1/2 mi E",,,84032_435-654-4642,2007,1,Heber City,UT,,,84032_435-654-4642,84032_435-654-4642_NA
23205,TF2008_258_271-0-ocr.csv,17,"Heber City , 84032 K & T's Last Stop ( Chevron )",435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),) <U+2610> 0 <U+2610> <U+2610>,Heber City,84032,"K & T's Last Stop,Chevron,",435-654-4642,1590 US 40 S and 1/2 mi S of jct US 189,,,84032_435-654-4642,2008,1,Heber City,UT,Chevron,,84032_435-654-4642,84032_435-654-4642_Chevron
23206,TF2014_256_269-2-ocr.csv,20,Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),189 ) <U+25A1> <U+2610><U+2610> <U+25A1>,Heber City,84032,Silver Eagle Country Store,435-654-4642,1590 US 40 S and 1/2 mi S of jct US 189,,,84032_435-654-4642,2014,1,Heber City,UT,,,84032_435-654-4642,84032_435-654-4642_NA
23207,TF2015_258_273-1-ocr.csv,23,E Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),<U+2610><U+2610>,Heber City,84032,Silver Eagle Country Store,435-654-4642,1590 US 40 S and 1/2 mi S of jct US 189,,,84032_435-654-4642,2015,1,Heber City,UT,,,84032_435-654-4642,84032_435-654-4642_NA
23208,TF2016_260_275-0-ocr.csv,23,Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),<U+2610> D,Heber City,84032,Silver Eagle Country Store,435-654-4642,1590 US 40 S and 1/2 mi S of jct US 189,,,84032_435-654-4642,2016,1,Heber City,UT,,,84032_435-654-4642,84032_435-654-4642_NA
23209,RVersFriend2006-115-ocr.csv,11,"( N ) , 84054 Flying J Fuel Stop # 0500100",801-936-1408 Salt Lake City 1-215 Exit 28 ( UT 68 ) #,MU 24 <U+2610> <U+2610>,,84054,Flying J Fuel Stop # 0500100,801-936-1408,Salt Lake City I-215 Exit 28 and UT 68 #,M,,84054_801-936-1408,2006,1,North Salt Lake,UT,Flying J,,84054_801-936-1408,84054_801-936-1408_Flying J
23210,RVersFriend2007-105-ocr.csv,12,ISalt Lake City ( N ) Flying J Fuel Stop # 0500100,801-936-1408 1-215 Exit 28 ( UT 68 ),M <U+2610>,,84054,00,801-936-1408,I-215 Exit 28 and UT 68,M,,84054_801-936-1408,2007,1,North Salt Lake,UT,,,84054_801-936-1408,84054_801-936-1408_NA
23211,TF2008_258_271-0-ocr.csv,49,"Salt Lake City ( N ) , 84054 Flying J Fuel Stop # 0500100 124",3 801-936-1408 1-215 Exit 28 ( UT 68 ),124 M,Salt Lake City,84054,Flying J Fuel Stop # 0500100 124,801-936-1408,I-215 Exit 28 and UT 68,M,,84054_801-936-1408,2008,1,North Salt Lake,UT,Flying J,,84054_801-936-1408,84054_801-936-1408_Flying J
23212,TF2014_256_269-2-ocr.csv,51,D Salt Lake City ( North ) ( 84054 ) Flying J Fuel Stop # 772,3 801-936-1408 1-215 Exit 27 ( UT 68 N ),24 M,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,I-215 Exit 27 and UT 68 N,M,,84054_801-936-1408,2014,1,North Salt Lake,UT,Flying J,,84054_801-936-1408,84054_801-936-1408_Flying J
23213,TF2015_258_273-2-ocr.csv,21,Salt Lake City ( N ) ( 84054 ) Flying J Fuel Stop # 772,801-936-1408 1-215 Exit 27 ( UT 68 N ) FLYING J,FLYING J 24 DOMO,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,I-215 Exit 27 and UT 68 N FLYING J,L,,84054_801-936-1408,2015,1,North Salt Lake,UT,Flying J,,84054_801-936-1408,84054_801-936-1408_Flying J
23214,TF2016_260_275-1-ocr.csv,23,Salt Lake City ( N ) ( 84054 ) Flying J Fuel Stop # 772,801-936-1408 1-215 Exit 27 ( UT 68 N ) FLYING,FLYING J 24,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,I-215 Exit 27 and UT 68 N FLYING,L,,84054_801-936-1408,2016,1,North Salt Lake,UT,Flying J,,84054_801-936-1408,84054_801-936-1408_Flying J
23215,RVersFriend2006-115-ocr.csv,51,"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 1-80 Exit 146 ( US 40 ),MO,Silver Creek,84060,"Bell's Silver Creek Junction,Sinclair,",435-649-9243,I-80 Exit 146 and US 40,M,,84060_435-649-9243,2006,1,Park City,UT,Sinclair,,84060_435-649-9243,84060_435-649-9243_Sinclair
23216,RVersFriend2007-105-ocr.csv,15,"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 1-80 Exit 146 ( US 40 ),) 24 MO D,Silver Creek,84060,"Bell's Silver Creek Junction,Sinclair,",435-649-9243,I-80 Exit 146 and US 40,M,,84060_435-649-9243,2007,1,Park City,UT,Sinclair,,84060_435-649-9243,84060_435-649-9243_Sinclair
23217,TF2008_258_271-0-ocr.csv,52,"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 1-80 Exit 146 ( US 40 ),24 M <U+25A1> <U+25A1> <U+2610>,Silver Creek,84060,"Bell's Silver Creek Junction,Sinclair,",435-649-9243,I-80 Exit 146 and US 40,M,,84060_435-649-9243,2008,1,Park City,UT,Sinclair,,84060_435-649-9243,84060_435-649-9243_Sinclair
23218,TF2014_256_269-3-ocr.csv,1,D Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 1-80 Exit 146 ( US 40 ),24 S,Silver Creek,84060,"Bell's Silver Creek Junction,Sinclair,",435-649-9243,I-80 Exit 146 and US 40,S,S,84060_435-649-9243,2014,1,Park City,UT,Sinclair,,84060_435-649-9243,84060_435-649-9243_Sinclair
23219,TF2015_258_273-2-ocr.csv,26,Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 1-80 Exit 146 ( US 40 ) AMREST,24 S D,Silver Creek,84060,"Bell's Silver Creek Junction,Sinclair,",435-649-9243,I-80 Exit 146 and US 40 AMREST,S,,84060_435-649-9243,2015,1,Park City,UT,Sinclair,,84060_435-649-9243,84060_435-649-9243_Sinclair
