Unnamed: 0,filename,record_num,clean_line1,clean_line2,line3,city,zip_code,label,phone,address,parking,gray_parking,identifier,year,panel,major_city,state,chain,p_identifier,identifier2,identifier3,places_place_id,places_name,places_formatted_address,places_vicinity,places_latitude,places_longitude,places_rating,places_types,places_business_status,places_search_method,places_status,places_formatted_phone,places_international_phone,places_website,places_street_number,places_street_name,places_city,places_state,places_postal_code,places_country,places_county,places_google_maps_link
23202,TF2016_260_275-0-ocr.csv,12,D Coalville ( 84017 ) Holiday Hills ( 66 ),4 435-336-4421 1-80 Exit 162 ( UT 280 ),<U+25A1> <U+2610> <U+2610> <U+2610> <U+2610>,Coalville,84017,Holiday Hills ( 66 ),435-336-4421,1-80 Exit 162 ( UT 280 ),,,84017_435-336-4421,2016,1,Coalville,UT,,,84017_435-336-4421,84017_435-336-4421_NA,ChIJSeB2ETY5UocRIXGN6EGrQDM,Holiday Hills RV Park,"118 S 500 W, Coalville, UT 84017, USA","118 South 500 West, Coalville",40.910923,-111.4047927,3.8,"rv_park, lodging, point_of_interest, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 336-4421,+1 435-336-4421,http://rvhills.com/,118,South 500 West,Coalville,UT,84017,US,Summit County,https://www.google.com/maps/place/?q=place_id:ChIJSeB2ETY5UocRIXGN6EGrQDM
23208,TF2016_260_275-0-ocr.csv,23,Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),<U+2610> D,Heber City,84032,Silver Eagle Country Store,435-654-4642,1590 US 40 S ( 1/2 mi S of jct US 189 ),,,84032_435-654-4642,2016,1,Heber City,UT,,,84032_435-654-4642,84032_435-654-4642_NA,ChIJa-y9OLf1TYcRS-52nkXuLH8,K&T's Silver Eagle,"1590 U.S. Hwy 40, Heber City, UT 84032, USA","1590 U.S. Highway 40, Heber City",40.48783239999999,-111.4086046,4.1,"convenience_store, gas_station, atm, finance, point_of_interest, food, store, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 654-4642,+1 435-654-4642,,1590,U.S. Highway 40,Heber City,UT,84032,US,Wasatch County,https://www.google.com/maps/place/?q=place_id:ChIJa-y9OLf1TYcRS-52nkXuLH8
23214,TF2016_260_275-1-ocr.csv,23,Salt Lake City ( N ) ( 84054 ) Flying J Fuel Stop # 772,801-936-1408 1-215 Exit 27 ( UT 68 N ) FLYING,FLYING J 24,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,1-215 Exit 27 ( UT 68 N ) FLYING,L,,84054_801-936-1408,2016,1,North Salt Lake,UT,Flying J,,84054_801-936-1408,84054_801-936-1408_Flying J,ChIJr5Pprd72UocRSClhLu90hOM,Flying J Travel Center,"885 N Pointe Cir, North Salt Lake, UT 84054, USA","885 North Pointe Circle, North Salt Lake",40.8360885,-111.9340978,3.8,"gas_station, convenience_store, point_of_interest, store, food, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(801) 936-1408,+1 801-936-1408,https://locations.pilotflyingj.com/us/ut/north-salt-lake/885-north-point-circle,885,North Pointe Circle,North Salt Lake,UT,84054,US,Davis County,https://www.google.com/maps/place/?q=place_id:ChIJr5Pprd72UocRSClhLu90hOM
23220,TF2016_260_275-1-ocr.csv,28,D Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 1-80 Exit 146 ( US 40 ),24 S <U+2610>,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,1-80 Exit 146 ( US 40 ),S,S,84060_435-649-9243,2016,1,Park City,UT,Sinclair,,84060_435-649-9243,84060_435-649-9243_Sinclair,,,,,,,,,,FAILED,FAILED: API Error: ZERO_RESULTS,,,,,,,,,,,
23226,TF2016_260_275-1-ocr.csv,14,Roosevelt ( 84066 ) Top Stop # 66 ( Chevron ),6 435-722-9940 1128 US 40 ( 1 mi W of town ),<U+2610> SO <U+25A1>,Roosevelt,84066,Top Stop # 66 ( Chevron ),435-722-9940,1128 US 40 ( 1 mi W of town ),S,S,84066_435-722-9940,2016,1,Roosevelt,UT,Chevron,,84066_435-722-9940,84066_435-722-9940_Chevron,ChIJ646618aiT4cRb6t05DkTtMI,Top Stop Chevron - Roosevelt C66,"1128 U.S. Hwy 40, Roosevelt, UT 84066, USA","1128 U.S. Highway 40, Roosevelt",40.2832519,-110.012308,4,"gas_station, convenience_store, point_of_interest, store, food, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 657-7125,+1 435-657-7125,https://topstopstores.com/,1128,U.S. Highway 40,Roosevelt,UT,84066,US,Duchesne County,https://www.google.com/maps/place/?q=place_id:ChIJ646618aiT4cRb6t05DkTtMI
23232,TF2016_260_275-0-ocr.csv,27,D Lake Point ( 84074 ) TA Tooele # 060 ( Shell ) Z,801-250-8585 1-80 Exit 99,Z XL,Lake Point,84074,TA Tooele # 060 ( Shell ) Z,801-250-8585,1-80 Exit 99,XL,,84074_801-250-8585,2016,1,Tooele,UT,Shell,,84074_801-250-8585,84074_801-250-8585_Shell,,,,,,,,,,FAILED,FAILED: API Error: ZERO_RESULTS,,,,,,,,,,,
23238,TF2016_260_275-0-ocr.csv,26,D Lake Point ( 84074 ) Flying J Travel Plaza # 742 FLYING J,3 801-508-7400 1-80 Exit 99,J 24 X 24,Lake Point,84074,Flying J Travel Plaza # 742 FLYING J,801-508-7400,1-80 Exit 99,,,84074_801-508-7400,2016,1,Tooele,UT,Flying J,,84074_801-508-7400,84074_801-508-7400_Flying J,ChIJI2JoqfC8UocRG1i941oflRE,Flying J Travel Center,"1605 Saddleback Boulevard, Lake Point, UT 84074, USA","1605 Saddleback Boulevard, Lake Point",40.6861464,-112.2664543,4,"gas_station, convenience_store, store, point_of_interest, food, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(801) 508-7400,+1 801-508-7400,https://locations.pilotflyingj.com/us/ut/lake-point/1605-east-saddleback-blvd.,1605,Saddleback Boulevard,Lake Point,UT,84074,US,Tooele County,https://www.google.com/maps/place/?q=place_id:ChIJI2JoqfC8UocRG1i941oflRE
23244,TF2016_260_275-1-ocr.csv,35,Vernal ( 84078 ) Top Stop # 40 ( Chevron ),435-789-8292 1355 US 40 E,24 OSO D,Vernal,84078,Top Stop # 40 ( Chevron ),435-789-8292,1355 US 40 E,S,,84078_435-789-8292,2016,1,Vernal,UT,Chevron,,84078_435-789-8292,84078_435-789-8292_Chevron,ChIJhw-SqyReRYcRuxtsb7pC92Y,Top Stop Chevron - Vernal C40,"1355 U.S. Hwy 40, Vernal, UT 84078, USA","1355 U.S. Highway 40, Vernal",40.4495338,-109.5021873,3.7,"gas_station, convenience_store, point_of_interest, store, food, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 657-7123,+1 435-657-7123,https://topstopstores.com/,1355,U.S. Highway 40,Vernal,UT,84078,US,Uintah County,https://www.google.com/maps/place/?q=place_id:ChIJhw-SqyReRYcRuxtsb7pC92Y
23250,TF2016_260_275-1-ocr.csv,44,Woods Cross ( 84087 ) RB's One Stop ( 66 ),801-295-3241 1-15 Exit 316 ( 500 S ),24 S O,Woods Cross,84087,RB's One Stop ( 66 ),801-295-3241,1-15 Exit 316 ( 500 S ),S,,84087_801-295-3241,2016,1,Woods Cross,UT,,,84087_801-295-3241,84087_801-295-3241_NA,ChIJ81g-KYH3UocRFuwIisoe2YQ,RB's Onestop,"527 S 700 W, Woods Cross, UT 84087, USA","527 South 700 West, Woods Cross",40.8836584,-111.8984898,3.9,"convenience_store, gas_station, food, point_of_interest, store, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(801) 295-3241,+1 801-295-3241,http://www.rbsonestop.com/,527,South 700 West,Woods Cross,UT,84087,US,Davis County,https://www.google.com/maps/place/?q=place_id:ChIJ81g-KYH3UocRFuwIisoe2YQ
23256,TF2016_260_275-1-ocr.csv,24,Salt Lake City ( W ) ( 84104 ) Dunn Oil # 2 7-11 ( Chevron ),801-975-7188 1-215 Exit 21 ( California Ave E ),24 <U+25A1>,Salt Lake City,84104,Dunn Oil # 2 7-11 ( Chevron ),801-975-7188,1-215 Exit 21 ( California Ave E ),,,84104_801-975-7188,2016,1,Salt Lake City,UT,Chevron,,84104_801-975-7188,84104_801-975-7188_Chevron,ChIJX6o5kqH0UocRZkl6hgrrw-Y,Sapp Bros. Travel Center,"1953 California Ave, Salt Lake City, UT 84104, USA","1953 California Avenue, Salt Lake City",40.7399941,-111.9464299,4.3,"gas_station, cafe, moving_company, car_repair, store, restaurant, point_of_interest, food, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(801) 977-3900,+1 801-977-3900,https://www.sappbros.net/travel-centers/,1953,California Avenue,Salt Lake City,UT,84104,US,Salt Lake County,https://www.google.com/maps/place/?q=place_id:ChIJX6o5kqH0UocRZkl6hgrrw-Y
