state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Street Address,City,State,Postal Code,Phone,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Exit,Fax,Phone 2,Road Name,Phone 3,# of Men's Showers,Unleaded,Diesel,Bulk Def,Propane,http,Mailing Address,https,Phone 4,Mile Marker,Hours of Operation,htp,Phone 5
49,,KWIK TRIP #363,location_details.php?id=54560,http://www.rvandtravelers.com/location_details.php?id=54560,RVer,kwik-trip,,,US 14,2393 US HWY 14 E,RICHLAND CENTER,WI,53981,608-647-2297 (TRAVEL CENTER),10,0,0,2,0,0,,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #373,location_details.php?id=54561,http://www.rvandtravelers.com/location_details.php?id=54561,RVer,kwik-trip,,,W ST PAUL AVE,1809 W ST PAUL AVE,WAUKESHA,WI,53188,262-547-1450 (TRAVEL CENTER),0,0,0,2,0,0,,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #386,location_details.php?id=54563,http://www.rvandtravelers.com/location_details.php?id=54563,RVer,kwik-trip,,,US 51,2311 E MAIN ST,MERRILL,WI,54452,715-536-1819 (TRAVEL CENTER),0,0,0,1,0,0,208,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #391,location_details.php?id=54564,http://www.rvandtravelers.com/location_details.php?id=54564,RVer,kwik-trip,,,US 53,1333 ROSE ST,LA CROSSE,WI,54603,608-785-1600 (TRAVEL CENTER),0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #396,location_details.php?id=54565,http://www.rvandtravelers.com/location_details.php?id=54565,RVer,kwik-trip,,,I-94,W229N2086 REDFORD BLVD,WAUKESHA,WI,53186,262-446-2032 (TRAVEL CENTER),0,0,0,5,0,0,295,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #399,location_details.php?id=54566,http://www.rvandtravelers.com/location_details.php?id=54566,RVer,kwik-trip,,,WI 21/80,100 3RD ST,NECEDAH,WI,54646,608-565-7744 (TRAVEL CENTER),0,0,0,4,0,,,608-565-6392,,,,,,,,,,,,,,,,
49,,KWIK TRIP #416,location_details.php?id=54567,http://www.rvandtravelers.com/location_details.php?id=54567,RVer,kwik-trip,,,WI 172,2618 MONROE RD,DEPERE,WI,54115,920-339-4652 (TRAVEL CENTER),0,0,0,4,0,0,,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #453,location_details.php?id=54569,http://www.rvandtravelers.com/location_details.php?id=54569,RVer,kwik-trip,,,WI 35,1238 N MAIN ST,RIVER FALLS,WI,54022,715-425-1386 (TRAVEL CENTER),5,0,0,2,0,0,,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #455,location_details.php?id=54570,http://www.rvandtravelers.com/location_details.php?id=54570,RVer,kwik-trip,,,US 8,100 W 9TH ST S,LADYSMITH,WI,54848,715-532-3117 (TRAVEL CENTER),0,0,0,2,0,0,WI 27,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #456,location_details.php?id=54571,http://www.rvandtravelers.com/location_details.php?id=54571,RVer,kwik-trip,,,US 18,2145 CO RD PB,VERONA,WI,53593,608-848-9040 (TRAVEL CENTER),10,0,0,4,0,0,79,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #457,location_details.php?id=54572,http://www.rvandtravelers.com/location_details.php?id=54572,RVer,kwik-trip,,,S WASHBURN ST,2400 S WASHBURN ST,OSHKOSH,WI,54904,920-233-4080 (TRAVEL CENTER),,,,4,,,,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #462,location_details.php?id=54573,http://www.rvandtravelers.com/location_details.php?id=54573,RVer,kwik-trip,,,WI 36,1164 S PINE ST,BURLINGTON,WI,53105,262-767-8615 (TRAVEL CENTER),0,0,0,2,0,0,,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #476,location_details.php?id=54574,http://www.rvandtravelers.com/location_details.php?id=54574,RVer,kwik-trip,,,US 53,2851 DECKER DR,RICE LAKE,WI,54868,715-736-1777 (TRAVEL CENTER),0,0,0,4,0,0,140,,,,,,,,,,,,,,,,,
49,,KWIK TRIP #494,location_details.php?id=54576,http://www.rvandtravelers.com/location_details.php?id=54576,RVer,kwik-trip,,,US 53,2800 ABBEY RD,ONALASKA,WI,54650,608-783-4422 (TRAVEL CENTER),0,0,0,3,0,0,9,,,,,,,,,,,,,,,,,
