state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Exit,Street Address,City,State,Postal Code,Phone,Phone 2,Phone 3,Fax,Diesel,Bulk Def,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Unleaded,Phone 4,Phone 5,# of Men's Showers,Propane,http,Hours of Operation,Road Name,https,Mile Marker,Mailing Address
44,Tennessee,PILOT TRAVEL CENTER #404,location_details.php?id=18133,https://www.truckstopsandservices.com/location_details.php?id=18133,Trucker,pilot,35.807442,-86.397135,I-24,81,2441 S CHURCH RD,MURFREESBORO,TN,37127,615-907-9595 (TRAVEL CENTER),615-907-3374 (ARBY'S),615-907-3374 (CINNABON),615-907-3982,3.499,4.259,65,26,26,8,7,0,,,,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #406,location_details.php?id=18138,https://www.truckstopsandservices.com/location_details.php?id=18138,Trucker,pilot,35.304016,-86.88498,I-65,22,9211 LEWISBURG HWY,CORNERSVILLE,TN,37047,931-363-3290 (TRAVEL CENTER),,,931-363-8248,3.599,4.259,20,0,0,5,2,0,2.759,,,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #409,location_details.php?id=18140,https://www.truckstopsandservices.com/location_details.php?id=18140,Trucker,pilot,36.023597,-87.341729,I-40,172,2320 TN 49 S,DICKSON,TN,37055,615-446-4600 (TRAVEL CENTER),615-446-0703 (WENDY'S),,615-446-4600,3.499,4.359,90,20,20,11,11,0,2.799,,,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #411,location_details.php?id=18143,https://www.truckstopsandservices.com/location_details.php?id=18143,Trucker,pilot,36.178949,-86.30035,I-40,238,921 MURFREESBORO RD,LEBANON,TN,37090,615-453-8866 (TRAVEL CENTER),615-453-8991 (SUBWAY),615-453-8991 (DAIRY QUEEN),615-453-8860,3.499,4.259,130,32,32,8,8,0,2.529,615-453-8991 (PJ FRESH),,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #412,location_details.php?id=18154,https://www.truckstopsandservices.com/location_details.php?id=18154,Trucker,pilot,36.109514,-83.338964,I-81,4,3624 ROY MESSER HWY,WHITE PINE,TN,37890,865-674-8570 (TRAVEL CENTER),865-674-8570 (MCDONALD'S),,865-674-8572,3.559,4.259,130,25,25,10,10,0,2.599,,,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #413,location_details.php?id=12539,https://www.truckstopsandservices.com/location_details.php?id=12539,Trucker,pilot,36.1719,-86.864612,TN 155,26-A,6418 CENTENNIAL BLVD,NASHVILLE,TN,37209,615-350-7225 (TRAVEL CENTER),615-350-7278 (SUBWAY),,615-350-7318,,,30,5,5,5,2,0,,,,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #4596,location_details.php?id=38324,https://www.truckstopsandservices.com/location_details.php?id=38324,Trucker,pilot,36.109517,-83.338952,I-81,4,3663 ROY MESSER HWY,WHITE PINE,TN,37890,865-674-2900 (TRAVEL CENTER),865-674-8009 (WENDY'S),,865-674-2066,3.559,4.259,106,15,15,8,10,0,2.599,,,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #4597,location_details.php?id=38323,https://www.truckstopsandservices.com/location_details.php?id=38323,Trucker,pilot,36.177653,-85.947865,I-40,258,502 GORDONSVILLE HWY,GORDONSVILLE,TN,38563,615-683-3416 (TRAVEL CENTER),615-683-3420 (WENDY'S),,615-683-3415,3.499,4.259,75,18,18,7,7,0,2.699,,,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #4598,location_details.php?id=681,https://www.truckstopsandservices.com/location_details.php?id=681,Trucker,pilot,35.545196,-84.564564,I-75,56,507 HWY 309,NIOTA,TN,37826,423-568-3500 (TRAVEL CENTER),423-568-3507 (WENDY'S),,423-568-3501,3.499,4.259,91,24,24,8,7,3,,,,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #4599,location_details.php?id=2048,https://www.truckstopsandservices.com/location_details.php?id=2048,Trucker,pilot,35.233489,-85.826623,I-24,135,640 DIXIE LEE HWY,MONTEAGLE,TN,37356,931-924-5111 (TRAVEL CENTER),931-924-5111 (WENDY'S),,931-924-5119,3.499,4.259,92,23,23,8,7,0,,,,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #481,location_details.php?id=37449,https://www.truckstopsandservices.com/location_details.php?id=37449,Trucker,pilot,35.151982,-84.954091,I-75,20,281 PLEASANT GROVE RD SW,CLEVELAND,TN,37353,423-476-3892 (TRAVEL CENTER),423-476-3662 (SUBWAY),423-476-3892 (MCDONALD'S),423-476-5430,3.499,4.259,80,23,23,8,7,0,2.559,,,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #51,location_details.php?id=18091,https://www.truckstopsandservices.com/location_details.php?id=18091,Trucker,pilot,36.319974,-82.832495,I-81,36,11190 BAILEYTON RD,GREENEVILLE,TN,37745,423-234-0414 (TRAVEL CENTER),423-234-0174 (SUBWAY),,423-234-0641,3.499,4.259,11,0,0,5,3,0,2.569,,,,,,,,,,
44,Tennessee,PILOT TRAVEL CENTER #52,location_details.php?id=18094,https://www.truckstopsandservices.com/location_details.php?id=18094,Trucker,pilot,35.998154,-86.595488,I-24,64,535 WALDRON RD,LA VERGNE,TN,37086,615-793-9856 (TRAVEL CENTER),615-793-0030 (SUBWAY),,615-793-9085,3.499,4.259,17,0,0,8,4,0,2.539,,,,,,,,,,
