state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Street Address,City,State,Postal Code,Phone,Fax,# of Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,# of Reserved Parking Spots,# of Paid Parking Spots,Exit,Phone 2,Phone 3,Diesel,Bulk Def,Unleaded,# of Men's Showers,Propane,Phone 4,Phone 5,Hours of Operation,Mile Marker,Road Name,https,Mailing Address
21,Michigan,LAKE SHORE SHELL,location_details.php?id=11166,https://www.truckstopsandservices.com/location_details.php?id=11166,Trucker,bp-,45.961028,-86.220051,US 2,1038 W US 2,MANISTIQUE,MI,49854,906-341-6594 (TRAVEL CENTER),906-341-0411,20,6,0,0,,,,,,,,,,,,,,,,,
21,Michigan,LAKE TRUCK STOP,location_details.php?id=11175,https://www.truckstopsandservices.com/location_details.php?id=11175,Trucker,bp-,43.857486,-85.004977,US 10,7800 W LUDINGTON DR,LAKE,MI,48633,989-544-2944 (TRAVEL CENTER),,5,2,0,0,0,0,,,,,,,,,,,,,,,
21,Michigan,LAWSON'S M-51 SERVICE,location_details.php?id=47581,https://www.truckstopsandservices.com/location_details.php?id=47581,Trucker,citgo,42.197104,-85.966188,I-94,61112 M-51 HWY,PAW PAW,MI,49079,269-657-2783 (TRAVEL CENTER),,18,3,0,0,,,56,,,,,,,,,,,,,,
21,Michigan,LOTTER'S NEWBERRY BP,location_details.php?id=54393,https://www.truckstopsandservices.com/location_details.php?id=54393,Trucker,bp-,46.33424,-85.510452,MI 123,7161 M123,NEWBERRY,MI,49868,906-293-8614 (TRAVEL CENTER),,10,2,0,0,0,0,,,,,,,,,,,,,,,
21,Michigan,Love's Travel Stop,location_details.php?id=64490,https://www.truckstopsandservices.com/location_details.php?id=64490,Trucker,,43.3500785,-83.8601455,I-75,,Bridgeport,MI,48722,898-746-9561,,,,,,,,,,,,,,,,,,,,,,
21,Michigan,LOVE'S TRAVEL STOP #336,location_details.php?id=14953,https://www.truckstopsandservices.com/location_details.php?id=14953,Trucker,loves-travel-stops-country-stores_416x416,42.278661,-84.931644,I-94,18720 PARTELLO RD,MARSHALL,MI,49068,269-781-9203 (TRAVEL CENTER),269-781-9245,112,8,5,2,0,0,112,269-781-9203 (HARDEE'S),,,,,,,,,,,,,
21,Michigan,LOVE'S TRAVEL STOP #645,location_details.php?id=47594,https://www.truckstopsandservices.com/location_details.php?id=47594,Trucker,loves-travel-stops-country-stores_416x416,41.965004,-83.344317,I-75,1609 NADEAU RD,FRENCHTOWN,MI,48161,734-289-4111 (TRAVEL CENTER),734-289-4108,100,8,6,2,0,0,18,734-289-4111 (HARDEE'S),734-289-4111 (SUBWAY),,,,,,,,,,,,
21,Michigan,LOVE'S TRAVEL STOP #701,location_details.php?id=47595,https://www.truckstopsandservices.com/location_details.php?id=47595,Trucker,loves-travel-stops-country-stores_416x416,42.990095,-82.928117,I-69,3191 CAPAC RD,CAPAC,MI,48014,810-395-9690 (TRAVEL CENTER),810-395-9693,104,8,7,4,0,0,176,810-395-9690 (MCDONALD'S),810-395-9690 (CHESTER'S FRIED CHICKEN),,,,,,,,,,,,
21,Michigan,LOVE'S TRAVEL STOP #742,location_details.php?id=48321,https://www.truckstopsandservices.com/location_details.php?id=48321,Trucker,loves-travel-stops-country-stores_416x416,42.783308,-86.022222,I-196,9790 ADAMS ST,HOLLAND,MI,49424,616-772-3101 (TRAVEL CENTER),616-772-3201,69,7,7,3,0,0,52,616-772-3101 (HARDEE'S),,,,,,,,,,,,,
21,Michigan,LOVE'S TRAVEL STOP #743,location_details.php?id=51559,https://www.truckstopsandservices.com/location_details.php?id=51559,Trucker,loves-travel-stops-country-stores_416x416,43.348796,-83.861065,I-75,6560 DIXIE HWY,BRIDGEPORT,MI,48722,989-746-9561 (TRAVEL CENTER),989-746-9563,87,8,8,3,0,0,144,989-746-9567 (HARDEE'S),,,,,,,,,,,,,
21,Michigan,LOVE'S TRAVEL STOP #745,location_details.php?id=51560,https://www.truckstopsandservices.com/location_details.php?id=51560,Trucker,loves-travel-stops-country-stores_416x416,42.86411,-82.559498,I-94,1336 WADHAMS RD,ST. CLAIR,MI,48079,810-326-4173 (TRAVEL CENTER),810-326-4179,104,9,7,3,0,0,262/ WADHAMS RD,810-326-1258 (SUBWAY),810-326-4186 (MCDONALD'S),,,,,,,,,,,,
21,Michigan,LOVE'S TRAVEL STOP #757,location_details.php?id=52446,https://www.truckstopsandservices.com/location_details.php?id=52446,Trucker,loves-travel-stops-country-stores_416x416,42.076321,-83.666473,US 23,14137 PLANK RD,MILAN,MI,48160,734-439-7406 (TRAVEL CENTER),734-439-7447,93,9,7,2,0,0,25/PLANK RD,734-439-7406 (HARDEE'S),,,,,,,,,,,,,
21,Michigan,LOVE'S TRAVEL STOP #785,location_details.php?id=52445,https://www.truckstopsandservices.com/location_details.php?id=52445,Trucker,loves-travel-stops-country-stores_416x416,42.7849,-84.66659,I-69/96,7300 W GRAND RIVER AVE,GRAND LEDGE,MI,48837,517-626-7370 (TRAVEL CENTER),517-626-7374,150,7,8,2,0,0,81/90,517-626-7370 (HARDEE'S),517-626-7370 (SUBWAY),,,,,,,,,,,,
21,Michigan,LOVE'S TRAVEL STOP #878,location_details.php?id=55862,https://www.truckstopsandservices.com/location_details.php?id=55862,Trucker,loves-travel-stops-country-stores_416x416,42.373999,-85.660192,US 131,7900 ADOBE RD,ALAMO,MI,49009,269-903-0294 (TRAVEL CENTER),269-903-0295,63,6,5,0,0,0,44,269-903-0294 (MCDONALD'S),,,,,,,,,,,,,
21,Michigan,M & N MARKET,location_details.php?id=11119,https://www.truckstopsandservices.com/location_details.php?id=11119,Trucker,shell_,43.202764,-83.313085,MI 24,5947 N LAPEER RD,NORTH BRANCH,MI,48461,810-793-8801 (TRAVEL CENTER),,20,3,0,0,0,0,,810-793-5248 (MCDONALD'S),,,,,,,,,,,,,
21,Michigan,M-140 TRUCK STOP,location_details.php?id=1939,https://www.truckstopsandservices.com/location_details.php?id=1939,Trucker,shell_,42.367588,-86.268348,I-196,13781 M-140,SOUTH HAVEN,MI,49090,269-637-1440 (TRAVEL CENTER),,10,1,0,0,,,18,,,,,,,,,,,,,,
21,Michigan,M-46 AMERICAN GAS & OIL,location_details.php?id=11231,https://www.truckstopsandservices.com/location_details.php?id=11231,Trucker,citgo,43.424725,-85.486526,US 131,20222 EDGAR RD,HOWARD CITY,MI,49329,231-937-5383 (TRAVEL CENTER),,10,4,0,0,0,0,120,,,,,,,,,,,,,,
21,Michigan,M-46 MOBIL TRUCK STOP,location_details.php?id=11230,https://www.truckstopsandservices.com/location_details.php?id=11230,Trucker,ind_dealer_1,43.425079,-85.476467,US 131,19674 E EDGAR RD,HOWARD CITY,MI,49329,231-937-4090 (TRAVEL CENTER),231-937-6194,50,4,8,0,,,120,,,,,,,,,,,,,,
21,Michigan,M-81 EXPRESS,location_details.php?id=1940,https://www.truckstopsandservices.com/location_details.php?id=1940,Trucker,bp-,43.45038,-83.887472,I-75,3670 E WASHINGTON RD,SAGINAW,MI,48601,989-755-6081 (TRAVEL CENTER),989-755-2473,128,6,4,0,0,0,151,,,,,,,,,,,,,,
21,Michigan,M-89 EXPRESS STOP,location_details.php?id=11243,https://www.truckstopsandservices.com/location_details.php?id=11243,Trucker,sunoco,42.449789,-85.660787,US 131,1198 M-89,PLAINWELL,MI,49080,269-685-9260 (TRAVEL CENTER),,0,8,0,0,,,49,,,,,,,,,,,,,,
21,Michigan,MADCO TRUCK STOP,location_details.php?id=1942,https://www.truckstopsandservices.com/location_details.php?id=1942,Trucker,marathon,42.253672,-83.310211,I-94,27416 ECORSE RD,ROMULUS,MI,48174,313-292-2500 (TRAVEL CENTER),313-292-2503,150,8,6,3,0,0,198 EB / 200 WB,,,,,,,,,,,,,,
21,Michigan,MARATHON,location_details.php?id=781,https://www.truckstopsandservices.com/location_details.php?id=781,Trucker,marathon,42.269513,-85.530684,I-94,2091 S SPRINKLE RD,KALAMAZOO,MI,49001,269-381-5949 (TRAVEL CENTER),,0,2,0,0,0,0,80,,,,,,,,,,,,,,
21,Michigan,MARATHON,location_details.php?id=54670,https://www.truckstopsandservices.com/location_details.php?id=54670,Trucker,marathon,41.7989,-85.740082,US 12,11028 W US 12,WHITE PIGEON,MI,49099,269-483-2500 (TRAVEL CENTER),,12,4,0,0,0,0,,269-483-2500 (HUNT BROTHERS PIZZA),,,,,,,,,,,,,
21,Michigan,MARATHON FUEL STOP,location_details.php?id=11244,https://www.truckstopsandservices.com/location_details.php?id=11244,Trucker,marathon,41.874046,-84.018351,US 223,2275 E US 223,ADRIAN,MI,49221,517-265-4100 (TRAVEL CENTER),,12,3,2,0,0,0,,,,,,,,,,,,,,,
21,Michigan,MARINA MINI MART,location_details.php?id=11252,https://www.truckstopsandservices.com/location_details.php?id=11252,Trucker,marathon,42.242924,-83.151569,SOUTHFIELD,151 SOUTHFIELD RD,ECORSE,MI,48229,313-386-4225 (TRAVEL CENTER),313-386-4754,5,4,0,0,0,0,,,,,,,,,,,,,,,
21,Michigan,MCCORMICK FOOD & GAS,location_details.php?id=11198,https://www.truckstopsandservices.com/location_details.php?id=11198,Trucker,ind_dealer_1,43.383159,-86.287574,US 31,1845 W WHITE LAKE DR,WHITEHALL,MI,49461,231-894-6100 (TRAVEL CENTER),231-894-6118,0,4,2,0,0,0,126,,,,,,,,,,,,,,
21,Michigan,METRO FUEL SERVICES,location_details.php?id=54694,https://www.truckstopsandservices.com/location_details.php?id=54694,Trucker,marathon,42.25332,-83.348658,I-94,31414 ECORSE RD,ROMULUS,MI,48174,734-727-1580 (TRAVEL CENTER),734-727-1582,0,4,0,0,0,0,198,,,,,,,,,,,,,,
21,Michigan,MICHIGAN & WYOMING FOOD SERVICES,location_details.php?id=2004,https://www.truckstopsandservices.com/location_details.php?id=2004,Trucker,bp-,42.32753,-83.156954,I-94,10001 MICHIGAN AVE,DEARBORN,MI,48126,313-945-9200 (TRAVEL CENTER),313-945-6445,0,4,0,0,,,210-A,,,,,,,,,,,,,,
21,Michigan,MICHIGAN OIL BP,location_details.php?id=2005,https://www.truckstopsandservices.com/location_details.php?id=2005,Trucker,bp-,42.278788,-83.421065,I-275,38800 MICHIGAN AVE,WAYNE,MI,48184,734-326-9190 (TRAVEL CENTER),,0,2,0,0,0,0,22,,,,,,,,,,,,,,
21,Michigan,MOBIL,location_details.php?id=18661,https://www.truckstopsandservices.com/location_details.php?id=18661,Trucker,mobil_oil__type,42.267686,-83.329529,MIDDLEBELT,5820 MIDDLEBELT RD,ROMULUS,MI,48174,313-585-6368 (TRAVEL CENTER),,0,4,0,0,0,0,VAN BORN,,,,,,,,,,,,,,
21,Michigan,MOBIL EXPRESS,location_details.php?id=11138,https://www.truckstopsandservices.com/location_details.php?id=11138,Trucker,mobil_oil__type,42.805028,-82.96357,MI 53,16500 32 MILE RD,RAY,MI,48096,586-336-0519 (TRAVEL CENTER),,0,3,0,0,0,0,,586-251-3412 (SUBWAY),,,,,,,,,,,,,
21,Michigan,MOBIL X,location_details.php?id=54718,https://www.truckstopsandservices.com/location_details.php?id=54718,Trucker,mobil_oil__type,42.94956,-83.055817,MI 53,3983 VAN DYKE RD,ALMONT,MI,48003,810-798-2886 (TRAVEL CENTER),,0,4,0,0,0,0,,,,,,,,,,,,,,,
21,Michigan,MONROE POINT SHELL,location_details.php?id=2047,https://www.truckstopsandservices.com/location_details.php?id=2047,Trucker,shell_,42.925088,-83.996323,I-69,8544 E LANSING RD,DURAND,MI,48429,989-288-2121 (TRAVEL CENTER),,0,4,0,0,0,0,118,,,,,,,,,,,,,,
21,Michigan,MOTOR CITY TRUCK PLAZA,location_details.php?id=2058,https://www.truckstopsandservices.com/location_details.php?id=2058,Trucker,marathon,42.287394,-83.164632,I-75,377 SCHAEFER HWY,DETROIT,MI,48217,313-554-1899 (TRAVEL CENTER),313-554-1898,30,6,4,0,0,0,43 NB/43-B SB,,,,,,,,,,,,,,
21,Michigan,MOUND MINI MART,location_details.php?id=54725,https://www.truckstopsandservices.com/location_details.php?id=54725,Trucker,mobil_oil__type,42.49812,-83.047207,I-696,27885 MOUND RD,WARREN,MI,48092,586-558-9760 (TRAVEL CENTER),586-558-9788,0,4,0,0,0,0,23,,,,,,,,,,,,,,
21,Michigan,MOUND TRUCK STOP,location_details.php?id=2833,https://www.truckstopsandservices.com/location_details.php?id=2833,Trucker,bp-,42.496894,-83.045833,I-696,27700 MOUND RD,WARREN,MI,48092,586-558-7739 (TRAVEL CENTER),586-558-9032,4,5,0,0,0,0,22,,,,,,,,,,,,,,
21,Michigan,NADA'S MOBIL,location_details.php?id=2086,https://www.truckstopsandservices.com/location_details.php?id=2086,Trucker,mobil_oil__type,42.661319,-84.197957,I-96,2524 N M-52,WEBBERVILLE,MI,48892,517-521-3010 (TRAVEL CENTER),517-521-1018,75,8,0,0,0,0,122,,,,,,,,,,,,,,
21,Michigan,NEXT DOOR STORE,location_details.php?id=11195,https://www.truckstopsandservices.com/location_details.php?id=11195,Trucker,marathon,43.811646,-84.768499,US 127,428 S MCEWAN ST,CLARE,MI,48617,989-386-3681 (TRAVEL CENTER),,0,2,0,0,0,0,,,,,,,,,,,,,,,
21,Michigan,NEXT DOOR STORE,location_details.php?id=11234,https://www.truckstopsandservices.com/location_details.php?id=11234,Trucker,ind_dealer_1,44.735455,-85.174165,US 131,111 S CEDAR ST,KALKASKA,MI,49646,231-258-8928 (TRAVEL CENTER),,0,2,0,0,,,,,,,,,,,,,,,,,
