state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Exit,Street Address,City,State,Postal Code,Phone,Phone 2,Phone 3,Fax,Hours of Operation,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Unleaded,Diesel,Bulk Def,# of Men's Showers,Propane,Phone 4,Phone 5,Mile Marker,Road Name,Mailing Address,https,http
46,Utah,LOVE'S TRAVEL STOP #686,location_details.php?id=44769,https://www.truckstopsandservices.com/location_details.php?id=44769,Trucker,loves-travel-stops-country-stores_416x416,41.507949,-112.053013,I-15,363,20 S 1550 W,BRIGHAM CITY,UT,84302,435-723-1789 (TRAVEL CENTER),435-723-1789 (SUBWAY),435-723-1789 (CARL'S JR),435-723-0223,24 HOURS,104,0,0,9,7,2,,,,,,,,,,,,
46,Utah,LOVE'S TRAVEL STOP #792,location_details.php?id=1198,https://www.truckstopsandservices.com/location_details.php?id=1198,Trucker,loves-travel-stops-country-stores_416x416,38.995103,-110.185199,I-70,160,1810 MAIN ST,GREEN RIVER,UT,84525,435-564-8262 (TRAVEL CENTER),435-564-8262 (ARBY'S),,435-564-3360,24 HOURS,80,0,0,6,3,0,,,,,,,,,,,,
46,Utah,LOVE'S TRAVEL STOP #835,location_details.php?id=56675,https://www.truckstopsandservices.com/location_details.php?id=56675,Trucker,loves-travel-stops-country-stores_416x416,38.950705,-112.352637,I-15,163,915 SOUTH 1100 WEST,FILLMORE,UT,84631,484-630-6993 (TRAVEL CENTER),484-630-6993 (TACO JOHN'S),,484-630-6994,24 HOURS,79,0,0,8,7,0,,,,,,,,,,,,
46,Utah,LW'S TRUCK STOP,location_details.php?id=12452,https://www.truckstopsandservices.com/location_details.php?id=12452,Trucker,chevron,41.735489,-111.860496,UT 30,UT 252,1000 W 200 N,LOGAN,UT,84321,435-753-7461 (TRAVEL CENTER),,,435-753-9611,24 HOURS,5,0,0,4,2,4,,,,,,,,,,,,
46,Utah,MAINSTREET MARKET,location_details.php?id=19127,https://www.truckstopsandservices.com/location_details.php?id=19127,Trucker,chevron,38.950694,-112.353372,I-15,163,885 S PARK AVE,FILLMORE,UT,84631,435-743-4823 (TRAVEL CENTER),,,,24 HOURS,50,0,0,6,2,0,,,,,,,,,,,,
46,Utah,MAVERICK # 444,location_details.php?id=44648,https://www.truckstopsandservices.com/location_details.php?id=44648,Trucker,ind_dealer_1,37.873251,-109.337817,US 491,,265 E CENTER ST,MONTICELLO,UT,84535,435-587-3238 (TRAVEL CENTER),,,,24 HOURS,3,0,0,3,0,0,,,,,,,,,,,,
46,Utah,MAVERIK,location_details.php?id=44647,https://www.truckstopsandservices.com/location_details.php?id=44647,Trucker,ind_dealer_1,41.736067,-111.860196,UT 30,UT 252,1033 W 200 N,LOGAN,UT,84321,435-753-9543 (TRAVEL CENTER),435-753-9543 (BON FIRE GRILL),,,24 HOURS,5,0,0,3,0,0,,,,,,,,,,,,
46,Utah,MAVERIK,location_details.php?id=48410,https://www.truckstopsandservices.com/location_details.php?id=48410,Trucker,ind_dealer_1,39.975582,-111.76859,I-15,244,725 E MAIN ST,SANTAQUIN,UT,84655,801-754-3076 (TRAVEL CENTER),801-754-3076 (BON FIRE GRILL),,,24 HOURS,0,0,0,5,0,0,,,,,,,,,,,,
46,Utah,MAVERIK,location_details.php?id=57084,https://www.truckstopsandservices.com/location_details.php?id=57084,Trucker,ind_dealer_1,40.698585,-111.906406,I-15,303,3330 S 500 W,SALT LAKE CITY,UT,84115,385-715-4843 (TRAVEL CENTER),,,,24 HOURS,0,,,4,0,,,,,,,,,,,,,
46,Utah,MAVERIK,location_details.php?id=52904,https://www.truckstopsandservices.com/location_details.php?id=52904,Trucker,ind_dealer_1,41.485525,-112.057797,I-15,362,1675 W 1100 S,PERRY,UT,84302,435-723-7086 (TRAVEL CENTER),435-723-7086 (DAIRY QUEEN),435-723-7086 (BON FIRE GRILL),,24 HOURS,23,0,0,6,0,0,,,,,,,,,,,,
46,Utah,MAVERIK,location_details.php?id=52905,https://www.truckstopsandservices.com/location_details.php?id=52905,Trucker,ind_dealer_1,40.482194,-111.897653,I-15,288,14814 S MINUTEMAN DR,DRAPER,UT,84020,801-572-9210 (TRAVEL CENTER),801-572-9210 (BON FIRE GRILL),,,24 HOURS,10,0,0,4,0,0,,,,,,,,,,,,
46,Utah,MAVERIK # 533,location_details.php?id=44765,https://www.truckstopsandservices.com/location_details.php?id=44765,Trucker,ind_dealer_1,41.644383,-111.912492,US 89,UTAH 101,748 E MAIN ST,WELLSVILLE,UT,84339,435-245-3184 (TRAVEL CENTER),,,,24 HOURS,10,0,0,3,0,0,,,,,,,,,,,,
46,Utah,MAVERIK # 844,location_details.php?id=44767,https://www.truckstopsandservices.com/location_details.php?id=44767,Trucker,ind_dealer_1,41.218038,-112.02602,UT 126,,2577 UT-126 S,WEST HAVEN,UT,84401,801-731-8597 (TRAVEL CENTER),801-731-8597 (BON FIRE GRILL),,,24 HOURS,0,0,0,6,0,0,,,,,,,,,,,,
46,Utah,MAVERIK #537,location_details.php?id=54681,https://www.truckstopsandservices.com/location_details.php?id=54681,Trucker,ind_dealer_1,40.741335,-111.947143,I-215,21,1290 S WALLACE RD,SALT LAKE CITY,UT,84101,801-973-1182 (TRAVEL CENTER),,,,24 HOURS,0,0,0,4,0,0,,,,,,,,,,,,
46,Utah,Maverik #665,location_details.php?id=64848,https://www.truckstopsandservices.com/location_details.php?id=64848,Trucker,,40.71724,-112.08053,,,UT 201 & S 8000 W,Magna,UT,84044,435-236-3378,,,,,,,,,,,,,,,,,,,,,,
46,Utah,Maverik #747,location_details.php?id=64850,https://www.truckstopsandservices.com/location_details.php?id=64850,Trucker,,40.73976,-111.95324,I-215,,,Salt Lake City,UT,84104,385-444-2235,,,,,,,,,,,,,,,,,,,,,,
46,Utah,MAVERIK ADVENTURE'S FIRST STOP,location_details.php?id=38265,https://www.truckstopsandservices.com/location_details.php?id=38265,Trucker,ind_dealer_1,40.740151,-111.983215,I-80,115 (1 MILE S),1445 S 3800 W,SALT LAKE CITY,UT,84104,801-975-6527 (TRAVEL CENTER),,,,24 HOURS,15,0,0,5,0,0,,,,,,,,,,,,
46,Utah,MAVERIK STORE,location_details.php?id=57083,https://www.truckstopsandservices.com/location_details.php?id=57083,Trucker,ind_dealer_1,40.843339,-111.93035,I-215,27,24 N REDWOOD RD,NORTH SALT LAKE CITY,UT,84054,801-936-1132 (TRAVEL CENTER),,,,24 HOURS,0,,,12,0,,,,,,,,,,,,,
46,Utah,MEADOW FOOD MART,location_details.php?id=1998,https://www.truckstopsandservices.com/location_details.php?id=1998,Trucker,conoco,38.892306,-112.410521,I-15,158,375 N MAIN ST,MEADOW,UT,84631,435-842-7132 (TRAVEL CENTER),,,,6AM TO 11PM DAILY,20,0,0,2,0,0,,,,,,,,,,,,
46,Utah,MILLER CHEVRON,location_details.php?id=2021,https://www.truckstopsandservices.com/location_details.php?id=2021,Trucker,chevron,38.994392,-112.324989,I-15,167,1155 CEDAR MOUNTAIN RD,FILLMORE,UT,84631,435-743-6508 (TRAVEL CENTER),435-743-6508 (SUBWAY),,,24 HOURS,30,0,0,8,0,2,,,,,,,,,,,,
