state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Exit,Street Address,City,State,Postal Code,Phone,Phone 2,Fax,https,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,# of Men's Showers,Mile Marker,Phone 3,Unleaded,Diesel,Bulk Def,Propane,Phone 4,Phone 5,Road Name,Hours of Operation,Mailing Address,http
14,Indiana,TRAVEL CENTERS OF AMERICA #250,location_details.php?id=3041,http://www.rvandtravelers.com/location_details.php?id=3041,RVer,catscale3,,,I-94,22-B,1441 W US 20,PORTER,IN,46304,219-926-4871 (TRAVEL CENTER),219-926-4871 (SUBWAY),219-921-0726,www.ta-petro.com/location/in/ta-porter-south,25,4,4,4,0,0,,,,,,,,,,,,,
14,Indiana,TRAVEL CENTERS OF AMERICA #257,location_details.php?id=15865,http://www.rvandtravelers.com/location_details.php?id=15865,RVer,catscale3,,,I-70,59,10346 S STATE RD 39,CLAYTON,IN,46118,317-539-6515 (TRAVEL CENTER),317-539-6515 (COUNTRY PRIDE RESTAURANT),317-539-5370,www.ta-petro.com/location/in/ta-clayton,100,32,32,8,6,2,,,,,,,,,,,,,
14,Indiana,USA TRUCK STOP,location_details.php?id=10775,http://www.rvandtravelers.com/location_details.php?id=10775,RVer,marathon,,,US 6,,9954 US 6,WESTVILLE,IN,46391,219-785-7096,,,,20,,,6,8,0,,,,,,,,,,,,,
14,Indiana,VEST QUIK MART,location_details.php?id=10812,http://www.rvandtravelers.com/location_details.php?id=10812,RVer,marathon,,,US 231,,820 S COMMERCIAL ST,WORTHINGTON,IN,47471,812-875-2497,,,,5,,,3,0,0,,,,,,,,,,,,,
14,Indiana,WARREN TRAVEL PLAZA,location_details.php?id=3045,http://www.rvandtravelers.com/location_details.php?id=3045,RVer,sunoco,,,I-69,278,7270 S WARREN RD,WARREN,IN,46792,260-375-2888 (TRAVEL CENTER),,260-375-7011,,80,0,0,8,4,1,,,,,,,,,,,,,
14,Indiana,WHITE RIVER CO-OP,location_details.php?id=10811,http://www.rvandtravelers.com/location_details.php?id=10811,RVer,ind_dealer_1,,,US 231,,1172 E STATE RD 58,BLOOMFIELD,IN,47424,812-863-7232 (TRAVEL CENTER),,,,7,0,0,2,0,0,,,,,,,,,,,,,
15,Kansas,24/7 TRAVEL STORE,location_details.php?id=174,http://www.rvandtravelers.com/location_details.php?id=174,RVer,cenex--300_0,,,I-70,184,1415 S FOSSIL ST,RUSSELL,KS,67665,785-483-4480 (TRAVEL CENTER),,785-483-4380,,30,0,0,3,1,0,,,,,,,,,,,,,
15,Kansas,24/7 TRAVEL STORE,location_details.php?id=175,http://www.rvandtravelers.com/location_details.php?id=175,RVer,ind_dealer_1,,,I-70,17,2710 COMMERCE RD,GOODLAND,KS,67735,785-899-7179 (TRAVEL CENTER),785-899-7179 (CHESTER'S FRIED CHICKEN),785-899-5422,,150,0,0,6,3,0,,,,,,,,,,,,,
15,Kansas,24/7 TRAVEL STORE,location_details.php?id=176,http://www.rvandtravelers.com/location_details.php?id=176,RVer,ind_dealer_1,,,I-70,53,1980 S RANGE AVE,COLBY,KS,67701,785-462-7460 (TRAVEL CENTER),,785-462-7565,,25,0,0,3,1,0,,,,,,,,,,,,,
15,Kansas,24/7 TRAVEL STORE,location_details.php?id=177,http://www.rvandtravelers.com/location_details.php?id=177,RVer,conoco,,,I-70,252,2230 N 9TH ST,SALINA,KS,67401,785-823-6697 (TRAVEL CENTER),785-823-6697 (SUBWAY),785-823-7500,,25,8,8,4,3,0,,,,,,,,,,,,,
